Ouascicheghesemmu,,,
Pc,ZAPATA D,UDI,26
Pc,TOTTI,ROM,1
Pc,GILARDINO,PAL,1
Pc,CIOFANI D,FRO,1
Pc,DIONISI,FRO,1
Crediti Residui: 42,,,
Cisti Gangleare United,,,
Por,REINA,NAP,15
Por,MARCHETTI,LAZ,5
Por,KARNEZIS,UDI,2
Por,SKORUPSKI,EMP,5
Por,GABRIEL,NAP,1
Por,RAFAEL CABRAL,NAP,1
Ds;Cs,DIGNE,ROM,6
Dc,BARZAGLI,JUV,2
Dc,TONELLI,EMP,8
Ds;Cs,ANTONELLI,MIL,2
Dc,EL KAOUTARI,PAL,1
Dd;Ds;Cd;Cs,SANTON,INT,2
Dd;Cd,MAICON,ROM,5
Dd;Ds;Cd;Cs,DE SCIGLIO,MIL,10
Ds;Dc;Cs,GAGLIOLO,CAR,5
Ds;Dc,JUAN JESUS,INT,1
Dc,DE MAIO,GEN,9
Dd;Cd,CALABRIA,MIL,5
M;Cc,MARCHISIO,JUV,15
M;Cc,VIVIANI,VER,2
M;Cc,LEMINA,JUV,1
M;Cc,BROZOVIC,INT,2
M;Cc,STROOTMAN,ROM,1
M;Cc,MEDEL,INT,1
Cd;Cs;M;Cc,HETEMAJ,CHI,10
Cc;T,TAIDER,BOL,5
W;T,CANDREVA,LAZ,35
W;A,PERISIC,INT,25
A,KEITA B,LAZ,17
A,MARTINEZ,TOR,2
A,BERNARDESCHI,FIO,5
Pc,ICARDI,INT,120
Pc,TONI,VER,2
Pc,MACCARONE,EMP,10
Pc,ZAZA,JUV,2
Pc,FLOCCARI,SAS,2
Pc,MANCOSU,BOL,2
Pc,MCHEDLIDZE,EMP,2
Pc,PELLISSIER,CHI,2
Pc,DJURDJEVIC,PAL,2
Crediti Residui: 0,,,
Blucerchiata,,,
Por,VIVIANO,SAM,3
Por,CONSIGLI,SAS,1
Por,BRIGNOLI,SAM,1
Ds;Dc,CHIELLINI,JUV,8
Dc,DE VRIJ,LAZ,3
Dd;Cd,WIDMER,UDI,7
Dd;Ds;Cd;Cs,LETIZIA,CAR,3
Ds;Dc,RADU,LAZ,3
Ds;Cs,GABRIEL SILVA,CAR,3
